2022-11-28 23:15:37,425 INFO    MainThread:18442 [wandb_setup.py:_flush():68] Configure stats pid to 18442
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_setup.py:_flush():68] Loading settings from /home/dvasilev/.config/wandb/settings
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_setup.py:_flush():68] Loading settings from /home/dvasilev/mario_icm/wandb/settings
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/dvasilev/mario_icm/main.py'}
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_init.py:_log_setup():476] Logging user logs to /home/dvasilev/mario_icm/wandb/run-20221128_231537-1hnu4our/logs/debug.log
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_init.py:_log_setup():477] Logging internal logs to /home/dvasilev/mario_icm/wandb/run-20221128_231537-1hnu4our/logs/debug-internal.log
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_init.py:init():516] calling init triggers
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'Seed': 1, 'No_shared': False, 'LR': 0.0001, 'Max_episode_length': 10000000, 'Number_of_steps': 2, 'Gamma': 0.99, 'GAE_lambda': 1.0, 'Entropy_coefficient': 0.01, 'Value_loss_coeficient': 0.5, 'Maximum_grad_norm': 50, 'Num_processes': 20, 'Action_space_size': 12, 'Device': device(type='cuda', index=0), 'ETA_ICM': 0.5, 'STATE_SPACE_DIM_ICM': 64, 'BETA_ICM': 0.2, 'MODEL_NAME': 'A2C_free'}
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_init.py:init():569] starting backend
2022-11-28 23:15:37,426 INFO    MainThread:18442 [wandb_init.py:init():573] setting up manager
2022-11-28 23:15:37,427 INFO    MainThread:18442 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-28 23:15:37,428 INFO    MainThread:18442 [wandb_init.py:init():580] backend started and connected
2022-11-28 23:15:37,431 INFO    MainThread:18442 [wandb_init.py:init():658] updated telemetry
2022-11-28 23:15:37,439 INFO    MainThread:18442 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-28 23:15:37,883 INFO    MainThread:18442 [wandb_run.py:_on_init():2000] communicating current version
2022-11-28 23:15:38,000 INFO    MainThread:18442 [wandb_run.py:_on_init():2004] got version response 
2022-11-28 23:15:38,000 INFO    MainThread:18442 [wandb_init.py:init():728] starting run threads in backend
2022-11-28 23:15:38,064 INFO    MainThread:18442 [wandb_run.py:_console_start():1980] atexit reg
2022-11-28 23:15:38,065 INFO    MainThread:18442 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-28 23:15:38,065 INFO    MainThread:18442 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-28 23:15:38,065 INFO    MainThread:18442 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-28 23:15:38,065 INFO    MainThread:18442 [wandb_init.py:init():765] run started, returning control to user process
2022-11-28 23:15:46,064 WARNING MsgRouterThr:18442 [router.py:message_loop():77] message_loop has been closed
